129,AS328425,ACSA-Telecoms-AS,CG,0,1,52 minutes
130,AS267495,Brasil Central Telecomunicacao,BR,0,4,52 minutes
131,AS134599,DIGITALDOTNET-AS-AP Digital Dot Net  ... ,BD,0,3,53 minutes
132,AS31510,IKB-AS,AT,0,3,53 minutes
133,AS58906,SIPL-AS Shivansh Infotech pvt Ltd,IN,0,1,55 minutes
134,AS139035,GBLINK-AS-AP GBLINK NETWORK SOLUTION ... ,IN,0,2,55 minutes
135,AS268720,MegaNet Fibra Optica Cacu,BR,0,1,55 minutes
136,AS43624,PQ-HOSTING-AS,NL,0,1,56 minutes
137,AS38930,FIBERRING Amsterdam  Netherlands,NL,0,1,56 minutes
138,AS6582,FRII,US,0,1,57 minutes
139,AS262822,WE RADIO COMUNICACOES LTDA EPP,BR,0,5,57 minutes
140,AS17799,CHINATELECOM-LN-AS-AP asn for Liaoni ... ,CN,0,5,57 minutes
141,AS134032,ICENET-AS-IN INFONET COMM ENTERPRISE ... ,IN,0,2,57 minutes
142,AS131584,TAIFO-AS-TW Taiwan Intelligent Fiber ... ,TW,0,1,58 minutes
143,AS135214,SPIDERBB-AS Spider Broadband Pvt. Lt ... ,IN,1,2,1 hour, 1 minutes
144,AS134004,FOXTEL-AS-IN Foxtel Telecommunicatio ... ,IN,0,2,1 hour, 2 minutes
145,AS9430,STPI-NOIDA Software Technology Parks ... ,IN,0,2,1 hour, 2 minutes
146,AS17753,DATAINFOSYS-AS INTERNET SERVICE PROV ... ,IN,0,1,1 hour, 2 minutes
147,AS269644,FORMOSA INTERNET E TELECOMUNICACOES  ... ,BR,0,24,1 hour, 3 minutes
148,AS57630,AS84 84 Grams AB,SE,0,1,1 hour, 3 minutes
149,AS57893,ALTARION,RU,0,94,1 hour, 3 minutes
150,AS43652,AS100LIMITE,PT,0,1,1 hour, 3 minutes
151,AS270832,DANTAS &amp; ARAGAO LTDA,BR,0,1,1 hour, 3 minutes
152,AS30925,SPEEDXS-AS,NL,0,1,1 hour, 4 minutes
153,AS198213,FREENET,SI,0,1,1 hour, 5 minutes
154,AS42003,OGERONET OGERO Telecom,LB,0,1,1 hour, 6 minutes
155,AS13182,ASN-ADHOC-NETWORK Rimini  Italy,IT,0,1,1 hour, 7 minutes
156,AS206791,SBY-TELECOM-AS,UA,0,1,1 hour, 8 minutes
157,AS196742,EKRAN-AS,RU,0,1,1 hour, 8 minutes
158,AS51580,TIMENET-AS,IT,0,1,1 hour, 9 minutes
159,AS22915,FUTUREQUEST-INC,US,0,1,1 hour, 9 minutes
160,AS36363,AISO-SOCAL,US,0,1,1 hour, 11 minutes
161,AS263473,SILVANIA ALVES SANTOS ME,BR,0,1,1 hour, 11 minutes
162,AS267516,Company Telecom Ltda,BR,0,1,1 hour, 11 minutes
163,AS58073,YISP-AS,NL,0,7,1 hour, 11 minutes
164,AS57285,UKRINFOSYSTEMS-AS,UA,0,1,1 hour, 12 minutes
165,AS135171,BALAJI-AS-IN Balaji Infra Ray Privat ... ,IN,0,1,1 hour, 13 minutes
166,AS266593,JASGAB TELECOM,BR,0,1,1 hour, 14 minutes
167,AS25853,ELJY30540,US,0,1,1 hour, 14 minutes
168,AS39451,MELBOURNE-AS,GB,0,2,1 hour, 14 minutes
169,AS268068,TRAUDI INES SEHNEM,BR,0,1,1 hour, 14 minutes
170,AS268238,JOTAPLUS - SOLUCAO EM WIRELESS LTDA  ... ,BR,0,1,1 hour, 15 minutes
171,AS266772,TRIMOTION S.R.L.,AR,0,1,1 hour, 15 minutes
172,AS271008,RSCONNECTION TELECOM COMERCIO E SERV ... ,BR,0,66,1 hour, 16 minutes
173,AS133525,SERVERMULE-AS-AP Nimbus2 Pty Ltd,AU,0,2,1 hour, 17 minutes
174,AS267005,WEB LINK DIGITAL EIRELI - ME,BR,0,2,1 hour, 17 minutes
175,AS264934,VGP INTERNET LTDA - ME,BR,0,1,1 hour, 17 minutes
176,AS209283,ITGLOBAL-,BY,0,14,1 hour, 19 minutes
177,AS204997,FIRSTBYTE-AS,RU,0,9,1 hour, 20 minutes
178,AS25180,EXPONENTIAL-E-AS,GB,0,1,1 hour, 21 minutes
179,AS55125,EGNYTE,US,0,1,1 hour, 21 minutes
180,AS207569,IHOR-CORE-AS,RU,0,1,1 hour, 23 minutes
181,AS327750,JENNY-INTERNET,ZA,0,1,1 hour, 24 minutes
182,AS28885,OMANTEL-NAP-AS OmanTel NAP,OM,0,2,1 hour, 24 minutes
183,AS208425,YONCU,TR,0,9,1 hour, 24 minutes
184,AS199758,NEXYLAN,FR,0,1,1 hour, 27 minutes
185,AS138051,IDNIC-SDP-AS-ID PT Sentra Data Persa ... ,ID,2,1,1 hour, 27 minutes
186,AS20676,PLUSNET *****************,DE,0,1,1 hour, 27 minutes
187,AS198371,NINET,RS,3,2,1 hour, 27 minutes
188,AS266229,lins. net telecom ltda-me,BR,0,6,1 hour, 28 minutes
189,AS57595,NETLOGIC-AS,RS,0,2,1 hour, 28 minutes
190,AS137084,SENSE-AS-IN Sense Connect It Pvt Ltd ... ,IN,0,1,1 hour, 29 minutes
191,AS135256,ODINPL-AS ONET DIGITAL NETWORKS PVT. ... ,IN,0,1,1 hour, 33 minutes
192,AS43360,MEDIAIMAGE,RO,0,1,1 hour, 33 minutes
