,AS_Number
1028,17488
1029,17488
1030,17488
1031,17488
1032,17488
1033,17488
1034,17488
1035,17488
1036,17488
1037,17488
1038,17488
1039,17488
1040,17488
1041,17488
1042,17488
1043,17488
1044,17488
1045,17488
1046,17488
1047,
1048,17488
1049,17488
1050,17488
1051,17488
1052,17488
1053,17488
1054,17488
1055,17488
1056,17488
1057,17488
1058,17488
1059,17488
1060,51167
1061,17488
1062,17488
1063,17488
1064,17488
1065,17488
1066,17488
1067,17488
1068,17488
1069,17488
1070,17488
1071,17488
1072,17488
1073,17488
1074,17488
1075,17488
1076,17488
1077,17488
1078,17488
1079,17488
1080,
1081,17488
1082,17488
1083,17488
1084,
1085,17488
1086,17488
1087,17488
1088,17488
1089,17488
1090,17488
1091,17488
1092,17488
1093,17488
1094,
1095,17488
1096,17488
1097,17488
1098,17488
1099,17488
1100,17488
1101,
1102,17488
1103,
1104,
1105,
1106,17488
1107,4837
1108,9808
1109,56041
1110,
1111,45769
1112,
1113,
1114,
1115,
1116,9808
1117,9808
1118,4837
1119,
1120,9121
1121,9121
1122,21017
1123,25071
1124,17488
1125,17488
1126,17488
1127,17488
1128,
1129,
1130,17488
1131,
1132,
1133,
1134,
1135,17488
1136,
1137,
1138,17488
1139,
1140,
1141,
1142,17488
1143,17488
1144,17488
1145,
1146,
1147,17488
1148,17488
1149,17488
1150,17488
1151,17488
1152,17488
1153,17488
1154,17488
1155,
1156,
1157,
1158,
1159,
1160,
1161,
1162,
1163,17813
1164,
1165,17813
1166,17813
1167,
1168,
1169,17488
1170,17488
1171,17488
1172,17488
1173,28000
1174,17488
1175,17813
1176,17488
1177,4837
1178,4837
1179,17813
1180,17488
1181,17488
1182,17488
1183,17488
1184,17488
1185,17488
1186,17488
1187,17488
1188,17488
1189,17488
1190,17488
1191,17488
1192,17488
1193,17488
1194,17488
1195,17488
1196,17488
1197,17488
1198,17488
1199,17488
1200,17488
1201,17488
1202,17488
1203,12637
1204,17488
1205,17488
1206,24940
1207,17488
1208,17488
1209,17488
1210,17488
1211,17488
1212,17488
1213,17488
1214,17488
1215,17488
1216,17488
1217,17488
1218,17488
1219,17488
1220,17488
1221,17488
1222,17488
1223,17488
1224,17488
1225,
1226,
1227,17488
1228,17488
1229,17488
1230,17488
1231,17488
1232,17488
1233,17488
1234,17488
1235,17488
1236,17488
1237,17488
1238,17488
1239,17488
1240,17488
1241,17488
1242,17488
1243,17488
1244,17488
1245,17488
1246,17488
1247,17488
1248,17488
1249,17488
1250,17488
1251,
1252,
1253,
1254,17488
1255,17488
1256,17488
1257,17488
1258,17488
1259,17488
1260,17488
1261,17488
1262,17488
1263,17488
1264,17488
1265,17488
1266,17488
1267,
1268,17488
1269,
1270,
1271,
1272,
1273,
1274,17488
1275,17813
1276,19429
1277,17813
1278,19429
1279,19429
1280,19429
1281,19429
1282,17465
1283,17465
1284,17465
1285,17465
1286,263137
1287,17813
1288,17813
1289,17813
1290,17488
1291,23969
1292,
1293,263137
1294,263137
1295,4134
1296,4837
1297,17813
1298,4837
1299,17488
1300,17488
1301,4134
1302,4134
1303,4134
1304,4134
1305,17813
1306,4837
1307,17813
1308,17813
1309,4837
1310,4837
1311,17488
1312,17488
1313,9808
1314,17488
1315,17488
1316,17488
1317,4837
1318,17813
1319,17488
1320,17488
1321,17488
1322,17488
1323,
1324,17488
1325,17488
1326,17488
1327,17488
1328,17488
1329,17488
1330,17488
1331,17488
1332,17488
1333,17488
1334,17488
1335,17488
1336,17488
1337,17488
1338,40034
1339,17488
1340,17488
1341,17488
1342,17488
1343,17488
1344,17488
1345,17488
1346,17488
1347,17488
1348,
1349,17488
1350,17488
1351,17488
1352,17488
1353,9318
1354,
1355,
1356,17488
1357,
1358,17488
1359,
1360,17488
1361,
1362,132142
1363,17488
1364,17488
1365,17488
1366,17488
1367,49981
1368,31034
1369,26496
1370,20718
1371,
1372,17488
1373,17488
1374,17488
1375,13335
1376,17488
1377,17488
1378,
1379,17488
1380,17488
1381,17488
1382,17488
1383,17488
1384,
1385,
1386,17488
1387,17488
1388,17488
1389,17488
1390,17488
1391,17488
1392,17488
1393,17488
1394,17488
1395,17488
1396,
1397,17488
1398,17488
1399,
1400,
1401,17488
1402,17488
1403,17488
1404,17488
1405,46606
1406,17488
1407,17488
1408,17488
1409,17488
1410,17488
1411,17488
1412,17488
1413,17488
1414,17488
1415,17488
1416,17488
1417,17488
1418,17488
1419,
1420,17488
1421,17488
1422,17488
1423,17488
1424,17488
1425,17488
1426,17488
1427,17488
1428,17488
1429,17488
1430,17488
1431,
1432,17488
1433,17488
1434,17488
1435,17488
1436,17488
1437,17488
1438,17488
1439,17488
1440,17488
1441,17488
1442,
1443,17488
1444,17488
1445,17488
1446,17488
1447,17488
1448,17488
1449,17488
1450,17488
1451,17488
1452,17488
1453,17488
1454,17488
1455,17488
1456,17488
1457,17488
1458,17488
1459,17488
1460,17488
1461,17488
1462,17488
1463,17488
1464,17488
1465,17488
1466,17488
1467,17488
1468,17488
1469,17488
1470,17488
1471,17488
1472,17488
1473,17488
1474,17488
1475,17488
1476,17488
1477,17488
1478,17488
1479,
1480,17488
1481,17488
1482,17488
1483,17488
1484,17488
1485,17488
1486,24139
1487,
1488,4837
1489,133285
1490,
1491,
1492,
1493,
1494,
1495,
1496,17465
1497,4837
1498,9808
1499,
1500,17488
1501,17488
1502,17488
1503,6849
1504,17488
1505,
1506,9121
1507,
1508,
1509,
1510,17488
1511,17488
1512,17488
1513,17488
1514,
1515,17488
1516,17488
1517,17488
1518,17488
1519,17488
1520,17488
1521,31400
1522,
1523,
1524,17488
1525,17488
1526,
1527,
1528,
1529,
1530,17488
1531,17488
1532,17488
1533,17488
1534,17488
1535,
1536,
1537,
1538,
1539,
1540,
1541,17813
1542,
1543,17813
1544,
1545,17813
1546,
1547,17813
1548,17813
1549,17813
1550,
1551,4134
1552,
1553,4837
1554,17488
1555,17488
1556,37203
1557,4837
1558,4837
1559,17488
1560,17488
1561,17488
1562,17488
1563,17488
1564,17488
1565,17488
1566,17488
1567,17488
1568,17488
1569,17488
1570,17488
1571,17488
1572,17488
1573,17488
1574,17488
1575,17488
1576,17488
1577,17488
1578,17488
1579,17488
1580,17488
1581,17488
1582,17488
1583,17488
1584,17488
1585,17488
1586,17488
1587,17488
1588,17488
1589,
1590,17488
1591,17488
1592,17488
1593,17488
1594,17488
1595,17488
1596,17488
1597,17488
1598,17488
1599,17488
1600,
1601,17488
1602,17488
1603,25847
1604,17488
1605,17488
1606,17488
1607,17488
1608,17488
1609,17488
1610,17488
1611,17488
1612,17488
1613,17488
1614,17488
1615,17488
1616,17488
1617,17488
1618,17488
1619,17488
1620,17488
1621,17488
1622,4837
1623,4837
1624,4837
1625,17488
1626,17488
1627,17488
1628,
1629,
1630,
1631,
1632,
1633,
1634,
1635,17488
